Project_ID,Manager_Experience,Team_Size,Budget_kUSD,Duration_days,Domain,Priority,Risk_Score,Status
P0155,19,19,632.29,314,IT,High,46.8,At Risk
P0156,10,15,945.92,88,HR,High,39.45,At Risk
P0157,12,13,278.66,154,Marketing,Low,45.92,At Risk
P0158,15,4,165.43,302,Operations,Low,44.54,At Risk
P0159,9,11,237.6,136,HR,Low,46.92,At Risk
P0160,20,4,892.58,328,Marketing,Medium,56.86,At Risk
P0161,17,11,663.52,274,Operations,Medium,49.45,At Risk
P0162,17,11,321.61,365,Marketing,High,30.46,On Schedule
P0163,20,10,825.15,276,HR,Medium,50.99,At Risk
P0164,12,19,868.3,37,Finance,High,51.62,At Risk
P0165,7,3,854.19,170,HR,High,34.74,At Risk
P0166,2,13,922.98,37,IT,High,46.99,At Risk
P0167,3,10,289.63,123,Marketing,Medium,42.46,At Risk
P0168,17,12,767.29,350,Finance,Low,66.71,Delayed
P0169,5,9,487.51,68,Marketing,Medium,35.87,At Risk
P0170,17,5,849.9,110,Marketing,High,22.05,On Schedule
P0171,17,5,742.07,216,Operations,High,36.23,At Risk
P0172,17,20,787.63,113,IT,Medium,54.21,At Risk
P0173,2,7,673.35,117,Marketing,High,36.74,At Risk
P0174,2,14,218.56,271,HR,High,40.61,At Risk
P0175,5,14,567.78,122,HR,Medium,46.74,At Risk
P0176,1,8,985.44,115,Operations,Medium,66.96,Delayed
P0177,1,4,940.52,73,IT,Medium,51.93,At Risk
P0178,19,14,91.02,166,IT,High,23.25,On Schedule
P0179,2,7,206.57,103,HR,High,25.6,On Schedule
P0180,12,14,175.14,65,Finance,Low,45.58,At Risk
P0181,6,19,739.68,130,Operations,Low,68.8,Delayed
P0182,4,19,826.9,185,Operations,Medium,67.01,Delayed
P0183,11,12,252.84,284,HR,Low,57.29,At Risk
P0184,17,19,530.56,200,HR,High,44.32,At Risk
P0185,6,17,848.67,245,Finance,Low,79.01,Delayed
P0186,5,14,746.16,199,Finance,High,54.67,At Risk
P0187,20,18,565.13,281,IT,Medium,52.59,At Risk
P0188,2,10,610.83,351,Operations,Medium,76.94,Delayed
P0189,6,19,532.94,84,Operations,High,46.44,At Risk
P0190,11,7,332.67,120,HR,Low,32.67,On Schedule
P0191,16,18,586.77,307,IT,Medium,59.14,At Risk
P0192,16,8,704.44,130,Operations,Medium,39.55,At Risk
P0193,1,10,879.66,184,IT,Low,67.12,Delayed
P0194,9,20,654.48,170,IT,Low,67.39,Delayed
P0195,6,14,773.07,202,HR,High,49.91,At Risk
P0196,16,17,202.07,39,IT,Low,34.33,At Risk
P0197,3,11,488.48,257,Finance,Low,68.9,Delayed
P0198,20,15,58.87,294,Finance,Low,56.73,At Risk
P0199,4,17,284.34,277,Marketing,High,44.31,At Risk
P0200,19,12,740.14,276,HR,High,42.34,At Risk
P0201,3,18,992.22,184,Marketing,Medium,68.36,Delayed
P0202,19,9,144.22,63,Finance,High,10.15,On Schedule
P0203,20,19,431.42,158,Marketing,Medium,37.15,At Risk
P0204,7,9,810.07,189,HR,Low,62.75,At Risk
P0205,20,16,243.83,118,HR,Medium,28.47,On Schedule
P0206,9,17,577.33,122,IT,Medium,46.6,At Risk
P0207,1,9,746.42,356,Operations,Low,81.69,Delayed
P0208,8,11,635.19,270,IT,Medium,61.45,At Risk
P0209,7,18,228.62,352,HR,High,50.27,At Risk
P0210,18,10,387.62,146,Finance,High,28.05,On Schedule
P0211,8,20,794.6,123,Finance,High,56.69,At Risk
P0212,1,20,576.52,192,IT,High,59.2,At Risk
P0213,11,9,54.97,128,HR,Medium,27.22,On Schedule
P0214,18,5,772.94,142,Finance,Medium,40.38,At Risk
P0215,10,20,83.55,120,HR,Low,41.77,At Risk
P0216,3,12,758.45,235,Finance,Medium,63.45,At Risk
P0217,7,9,242.36,46,HR,Medium,31.62,On Schedule
P0218,16,19,960.17,303,Marketing,Medium,69.47,Delayed
P0219,16,16,399.54,202,HR,Low,53.98,At Risk
P0220,20,5,360.59,145,HR,High,17.08,On Schedule
P0221,17,14,191.44,210,IT,Medium,35.54,At Risk
P0222,2,15,340.32,120,Marketing,Low,49.63,At Risk
P0223,1,4,882.82,111,Operations,Low,58.01,At Risk
P0224,16,5,996.52,353,IT,Low,65.02,At Risk
P0225,12,7,399.89,143,Operations,High,32.51,On Schedule
P0226,5,13,476.18,286,Finance,Medium,62.01,At Risk
P0227,5,10,735.97,87,Operations,Low,63.4,At Risk
P0228,9,14,891.89,183,HR,High,49.4,At Risk
P0229,9,9,613.39,145,Operations,Low,52.39,At Risk
P0230,3,17,421.95,295,IT,Low,68.83,Delayed
P0231,19,19,441.99,344,IT,Low,62.84,At Risk
P0232,16,6,710.84,232,Operations,Low,61.43,At Risk
P0233,16,15,53.06,70,IT,Low,27.5,On Schedule
P0234,3,20,638.61,134,IT,High,61.94,At Risk
P0235,20,3,387.72,222,Operations,Medium,26.71,On Schedule
P0236,1,18,804.49,307,Marketing,Medium,78.07,Delayed
P0237,20,15,138.34,266,Marketing,Medium,32.46,On Schedule
P0238,11,12,608.79,250,Finance,Medium,57.12,At Risk
P0239,17,14,506.92,97,IT,High,21.97,On Schedule
P0240,8,4,660.21,226,Operations,High,40.98,At Risk
P0241,4,5,111.61,285,IT,High,28.88,On Schedule
P0242,6,12,600.98,168,HR,Low,51.81,At Risk
P0243,8,4,583.41,341,IT,Low,64.29,At Risk
P0244,20,15,582.63,178,IT,Low,48.65,At Risk
P0245,3,15,623.31,128,Marketing,Medium,58.42,At Risk
P0246,16,20,692.64,105,Operations,Low,63.53,At Risk
P0247,3,5,814.74,311,IT,Medium,72.03,Delayed
P0248,18,9,306.33,138,Marketing,Low,29.19,On Schedule
P0249,14,16,833.8,217,Finance,Medium,64.03,At Risk
P0250,18,19,523.34,228,Marketing,Low,43.88,At Risk
P0251,2,14,123.21,332,Marketing,Low,60.58,At Risk
P0252,3,18,105.62,356,Marketing,High,49.46,At Risk
P0253,16,14,367.53,183,IT,Low,49.19,At Risk
P0254,9,17,795.65,69,IT,Low,60.64,At Risk
P0255,4,12,722.3,162,Finance,High,52.8,At Risk
P0256,1,9,799.18,161,HR,Medium,45.09,At Risk
P0257,4,7,541.41,308,HR,High,48.84,At Risk
P0258,1,3,468.19,113,HR,High,31.38,On Schedule
P0259,14,19,190.08,271,Finance,Medium,58.85,At Risk
P0260,16,5,361.78,145,HR,Low,36.13,At Risk
P0261,20,15,462.32,138,HR,Medium,34.06,At Risk
P0262,8,16,134.17,250,Marketing,Low,57.1,At Risk
P0263,7,20,259.58,70,IT,Low,40.92,At Risk
P0264,3,6,618.31,176,IT,Medium,47.66,At Risk
P0265,17,20,748.88,141,Marketing,High,35.97,At Risk
P0266,1,7,998.43,132,Marketing,Medium,55.24,At Risk
P0267,16,18,936.46,75,Marketing,Low,45.96,At Risk
P0268,12,3,660.44,353,IT,Medium,59.21,At Risk
P0269,19,16,450.19,300,HR,Medium,47.69,At Risk
P0270,14,17,654.37,224,Marketing,Low,61.47,At Risk
P0271,6,11,796.37,309,Finance,High,64.05,At Risk
P0272,6,17,162.42,312,Marketing,Medium,57.54,At Risk
P0273,13,19,439.41,69,Operations,Low,43.16,At Risk
P0274,19,6,847.81,218,Marketing,Low,49.66,At Risk
P0275,8,14,414.64,193,IT,Medium,54.17,At Risk
P0276,2,7,593.28,53,Marketing,High,28.21,On Schedule
P0277,1,7,608.38,53,Operations,Medium,40.54,At Risk
P0278,15,13,225.25,33,Finance,High,17.33,On Schedule
P0279,1,8,394.12,352,HR,High,49.16,At Risk
P0280,5,9,367.79,319,Marketing,High,39.25,At Risk
P0281,16,16,74.89,210,Operations,High,28.42,On Schedule
P0282,19,13,72.98,277,Operations,Medium,43.6,At Risk
P0283,4,15,840.11,145,Finance,Low,72.19,Delayed
P0284,3,4,309.42,308,IT,Low,56.16,At Risk
P0285,17,9,542.17,98,Marketing,Low,38.38,At Risk
P0286,17,6,333.79,283,Operations,Low,47.27,At Risk
P0287,12,10,943.65,210,Finance,Low,64.52,At Risk
P0288,14,15,296.33,347,HR,Low,60.12,At Risk
P0289,6,16,458.17,198,Operations,Medium,55.95,At Risk
P0290,3,12,879.09,342,Finance,High,75.87,Delayed
P0291,9,13,849.84,278,IT,Low,70.22,Delayed
P0292,5,4,226.8,217,IT,Medium,42.74,At Risk
P0293,17,11,812.51,83,Operations,Low,50.29,At Risk
P0294,14,19,485.28,355,Operations,Low,68.91,Delayed
P0295,3,5,508.82,342,Marketing,High,40.1,At Risk
P0296,1,8,176.81,167,Finance,High,45.01,At Risk
P0297,20,7,126.57,197,Operations,High,16.0,On Schedule
P0298,1,7,741.54,132,Marketing,Low,61.06,At Risk
P0299,3,17,521.64,114,Marketing,Low,50.57,At Risk
P0300,18,19,465.01,346,Operations,Low,80.21,Delayed
P0301,10,11,743.03,241,IT,High,52.26,At Risk
P0302,3,5,777.24,32,Finance,Medium,45.29,At Risk
P0303,8,19,200.96,208,Finance,Low,61.27,At Risk
P0304,14,12,629.71,332,IT,Low,70.19,Delayed
P0305,18,5,178.59,361,Operations,Low,50.82,At Risk
P0306,15,20,763.81,67,Finance,Medium,53.86,At Risk
P0307,2,20,674.11,268,Operations,Low,84.11,Delayed
P0308,10,19,958.78,198,Operations,Medium,71.91,Delayed
P0309,2,5,115.51,343,Marketing,Low,45.75,At Risk
P0310,17,5,104.2,335,IT,Medium,32.77,On Schedule
P0311,8,8,318.08,59,Operations,Low,33.35,At Risk
P0312,1,15,298.62,219,HR,High,47.68,At Risk
P0313,9,17,284.63,54,IT,High,25.47,On Schedule
P0314,11,11,910.94,141,Finance,High,41.87,At Risk
P0315,16,6,287.07,235,Marketing,High,17.16,On Schedule
P0316,7,16,308.35,214,Finance,Low,64.5,At Risk
P0317,10,7,771.43,76,Finance,High,35.77,At Risk
P0318,3,4,477.25,257,IT,Medium,45.19,At Risk
P0319,18,13,787.88,68,Finance,High,27.94,On Schedule
P0320,13,11,112.1,45,Operations,High,15.28,On Schedule
P0321,7,5,513.19,51,Finance,High,25.84,On Schedule
P0322,4,11,81.93,242,Marketing,Low,47.71,At Risk
P0323,13,5,109.52,339,Marketing,High,24.81,On Schedule
P0324,20,4,911.12,178,HR,Medium,40.67,At Risk
P0325,1,14,182.28,270,Marketing,High,45.89,At Risk
P0326,8,12,555.8,301,Finance,High,55.72,At Risk
P0327,14,11,440.54,88,Marketing,High,18.93,On Schedule
P0328,16,17,379.98,316,IT,Medium,53.67,At Risk
P0329,14,10,904.84,231,Marketing,High,41.6,At Risk
P0330,12,7,70.73,61,Operations,Medium,13.46,On Schedule
P0331,19,13,680.6,191,IT,Medium,50.03,At Risk
P0332,15,4,965.22,284,HR,High,48.31,At Risk
P0333,2,17,582.16,283,Operations,Medium,79.61,Delayed
P0334,2,8,939.98,38,Finance,Low,73.77,Delayed
P0335,19,10,99.64,168,Finance,High,15.18,On Schedule
P0336,17,7,447.85,39,Finance,High,17.12,On Schedule
P0337,20,18,297.15,243,Operations,Medium,55.61,At Risk
P0338,10,20,744.28,302,Operations,Medium,72.51,Delayed
P0339,6,8,982.23,353,Operations,High,66.99,Delayed
P0340,15,7,293.7,77,IT,Low,25.51,On Schedule
P0341,11,18,671.47,140,IT,Medium,54.13,At Risk
P0342,5,15,238.19,182,Finance,Medium,59.96,At Risk
P0343,1,7,587.06,152,Marketing,Low,59.9,At Risk
P0344,8,15,490.74,131,Finance,Low,57.85,At Risk
P0345,12,19,973.41,270,HR,High,59.82,At Risk
P0346,12,20,628.1,350,IT,Low,73.43,Delayed
P0347,5,10,382.03,220,Operations,High,38.48,At Risk
P0348,7,15,158.39,246,IT,Low,48.63,At Risk
P0349,4,5,193.68,80,Operations,Medium,30.27,On Schedule
P0350,6,10,264.05,321,HR,High,48.91,At Risk
P0351,13,4,288.42,110,HR,High,15.78,On Schedule
P0352,20,10,858.09,117,IT,High,37.73,At Risk
P0353,15,15,583.16,223,Operations,Low,65.81,At Risk
P0354,3,15,547.22,133,HR,Medium,49.67,At Risk
P0355,8,3,159.03,300,Finance,High,31.72,On Schedule
P0356,20,8,867.13,125,Finance,High,31.86,On Schedule
P0357,16,18,736.67,227,Operations,High,43.11,At Risk
P0358,13,10,114.28,30,IT,High,11.25,On Schedule
P0359,18,3,722.44,196,HR,Medium,23.29,On Schedule
P0360,10,18,566.36,155,IT,Low,63.88,At Risk
P0361,19,11,127.64,342,Finance,Medium,44.48,At Risk
P0362,17,15,485.39,110,HR,High,29.21,On Schedule
P0363,19,13,510.46,280,IT,Medium,52.12,At Risk
P0364,5,15,207.49,198,Marketing,High,35.58,At Risk
P0365,9,12,948.41,102,Operations,Low,71.26,Delayed
P0366,12,6,857.48,170,Operations,Low,60.84,At Risk
P0367,1,8,685.57,99,Marketing,Low,50.67,At Risk
P0368,1,9,489.18,291,Finance,High,54.78,At Risk
P0369,15,7,441.18,337,HR,Medium,36.1,At Risk
P0370,2,13,668.42,274,Operations,Low,73.35,Delayed
P0371,16,15,568.16,32,Marketing,High,20.07,On Schedule
P0372,8,12,109.16,92,Marketing,High,20.4,On Schedule
P0373,13,12,536.88,78,Finance,Medium,38.15,At Risk
P0374,1,13,816.08,105,Finance,Low,66.32,Delayed
P0375,16,9,486.28,204,IT,High,22.86,On Schedule
P0376,7,20,99.36,138,Operations,Medium,42.5,At Risk
P0377,5,6,796.96,212,IT,Low,72.82,Delayed
P0378,3,4,241.3,221,Marketing,Medium,37.87,At Risk
P0379,12,16,295.69,94,HR,Medium,39.03,At Risk
P0380,16,15,206.47,300,HR,High,31.28,On Schedule
P0381,19,14,363.7,129,Finance,High,21.73,On Schedule
P0382,5,9,768.91,61,HR,High,30.68,On Schedule
P0383,14,4,543.42,157,HR,Medium,32.17,On Schedule
P0384,5,15,244.64,72,HR,High,19.95,On Schedule
P0385,15,16,883.94,107,Marketing,Medium,42.38,At Risk
P0386,17,19,885.6,343,HR,Medium,66.35,Delayed
P0387,14,11,877.05,318,HR,High,46.95,At Risk
P0388,20,19,276.86,299,HR,Low,45.56,At Risk
P0389,5,10,478.68,191,IT,Low,59.38,At Risk
P0390,12,4,985.74,218,Marketing,Low,57.48,At Risk
P0391,16,15,783.41,276,Finance,Medium,67.16,Delayed
P0392,16,5,75.81,245,IT,Medium,22.74,On Schedule
P0393,7,18,111.94,344,Operations,Medium,62.62,At Risk
P0394,4,8,490.73,197,Marketing,High,42.79,At Risk
P0395,1,9,913.76,222,Marketing,Medium,63.21,At Risk
P0396,5,12,561.77,312,Operations,High,53.6,At Risk
P0397,10,11,522.92,365,Operations,High,54.34,At Risk
P0398,5,4,150.2,42,Operations,Low,30.38,On Schedule
P0399,4,17,673.94,269,Finance,Low,78.3,Delayed
P0400,2,7,831.0,349,HR,Low,80.9,Delayed
P0401,20,6,411.4,176,Marketing,High,15.18,On Schedule
P0402,10,6,786.83,233,HR,High,47.37,At Risk
P0403,19,20,966.25,109,HR,High,41.61,At Risk
P0404,1,6,243.58,72,Operations,Medium,33.66,At Risk
P0405,5,19,547.16,118,Finance,High,48.08,At Risk
P0406,13,14,322.78,177,IT,Low,44.72,At Risk
P0407,4,19,803.21,124,Finance,Low,79.72,Delayed
P0408,16,12,598.71,180,HR,High,43.0,At Risk
P0409,16,3,652.85,31,Finance,High,18.74,On Schedule
P0410,2,20,808.02,51,Operations,Low,67.98,Delayed
P0411,17,20,426.17,342,IT,High,47.11,At Risk
P0412,20,16,919.34,357,Operations,Low,74.27,Delayed
P0413,12,17,556.38,36,IT,Medium,47.48,At Risk
P0414,18,14,200.06,235,HR,Low,41.31,At Risk
P0415,3,6,711.1,143,IT,Medium,47.34,At Risk
P0416,1,5,803.6,301,IT,High,51.43,At Risk
P0417,1,14,350.92,112,IT,High,40.2,At Risk
P0418,19,9,864.32,208,Finance,Medium,51.62,At Risk
P0419,11,13,910.84,239,Finance,High,53.37,At Risk
P0420,5,3,313.06,357,HR,Medium,45.09,At Risk
P0421,12,8,984.35,153,IT,High,49.94,At Risk
P0422,3,17,183.68,142,Marketing,Low,51.02,At Risk
P0423,1,17,241.91,41,HR,High,32.21,On Schedule
P0424,1,13,225.01,155,IT,Low,55.55,At Risk
P0425,8,4,899.29,82,IT,Low,58.38,At Risk
P0426,10,16,671.58,360,Finance,Medium,69.2,Delayed
P0427,11,4,194.5,312,HR,High,27.42,On Schedule
P0428,12,6,468.31,169,IT,Medium,36.32,At Risk
P0429,13,19,634.53,126,IT,High,34.49,At Risk
P0430,12,5,129.29,34,HR,Low,19.26,On Schedule
P0431,14,15,888.3,86,Marketing,Low,58.29,At Risk
P0432,2,11,813.42,363,HR,High,68.61,Delayed
P0433,19,9,529.95,98,HR,High,23.59,On Schedule
P0434,18,17,968.77,147,Marketing,Medium,47.89,At Risk
P0435,3,13,446.87,88,HR,High,33.11,At Risk
P0436,17,4,984.9,62,IT,High,19.93,On Schedule
P0437,8,17,684.52,347,HR,High,65.23,At Risk
P0438,10,16,652.94,79,Marketing,Medium,47.54,At Risk
P0439,2,13,207.66,48,Operations,High,34.54,At Risk
P0440,19,5,887.83,243,HR,Low,60.72,At Risk
P0441,9,19,456.12,226,Finance,Medium,63.23,At Risk
P0442,7,14,204.12,76,IT,Medium,42.04,At Risk
P0443,4,17,61.98,196,IT,Low,54.28,At Risk
P0444,18,18,581.77,318,Finance,Low,63.77,At Risk
P0445,13,7,551.03,170,Finance,Low,56.19,At Risk
P0446,11,8,733.39,113,HR,High,24.73,On Schedule
P0447,4,7,895.75,211,Finance,Low,74.0,Delayed
P0448,4,5,125.44,108,Operations,High,26.42,On Schedule
P0449,10,3,744.92,244,Marketing,Medium,46.27,At Risk
P0450,5,8,228.04,43,Finance,Medium,43.3,At Risk
P0451,9,17,865.27,244,Finance,Low,72.11,Delayed
P0452,3,4,828.11,157,Operations,High,44.84,At Risk
P0453,17,5,563.75,339,IT,Low,55.98,At Risk
P0454,3,19,724.73,277,IT,Low,76.68,Delayed
P0455,16,14,348.63,58,HR,High,14.31,On Schedule
P0456,4,20,497.61,309,Operations,Low,76.94,Delayed
P0457,18,17,830.56,348,Marketing,Medium,57.47,At Risk
P0458,17,14,486.3,231,Marketing,Low,49.79,At Risk
P0459,7,18,389.91,86,Operations,High,35.71,At Risk
P0460,5,10,519.5,247,Marketing,High,43.33,At Risk
P0461,12,16,836.84,91,IT,Medium,54.07,At Risk
P0462,17,19,368.45,186,Marketing,High,33.85,At Risk
P0463,13,10,215.07,231,Marketing,High,23.34,On Schedule
P0464,3,17,726.41,46,Operations,Medium,56.93,At Risk
